Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
50,0,7216.17,49170.9,5.286
100,1,7216.17,49085,10.599
150,2,7216.17,47418.7,15.991
200,3,7216.17,45564.7,21.638
250,4,7216.17,44180.8,27.958
300,5,7216.17,43286.8,34.223
350,6,7216.17,39829,39.9
400,7,7216.17,37797.7,45.756
450,8,7216.17,37797.7,51.516
500,9,7216.17,37797.7,56.903
550,10,7216.17,37179.9,62.225
600,11,7216.17,35281.7,67.439
650,12,7216.17,35281.7,72.983
700,13,7216.17,35281.7,78.311
750,14,7216.17,35281.7,83.461
800,15,7216.17,34885.5,88.65
850,16,7216.17,34885.5,93.793
900,17,7216.17,34885.5,99.049
950,18,7216.17,34885.5,104.268
1000,19,7216.17,34885.5,109.451
1050,20,7216.17,34885.5,114.731
1100,21,7216.17,34885.5,119.897
1150,22,7216.17,34885.5,125.062
1200,23,7216.17,34885.5,130.195
1250,24,7216.17,34176.4,135.466
1300,25,7216.17,34176.4,140.626
1350,26,7216.17,34176.4,145.809
1400,27,7216.17,34176.4,151.026
1450,28,7216.17,34176.4,156.301
1500,29,7216.17,32039.5,161.484
1550,30,7216.17,32039.5,166.754
1600,31,7216.17,32039.5,171.928
1650,32,7216.17,31051,177.208
1700,33,7216.17,31051,182.506
1750,34,7216.17,31051,187.697
1800,35,7216.17,30695.7,192.834
1850,36,7216.17,30361.8,198.175
1900,37,7216.17,30361.8,203.439
1950,38,7216.17,30151,208.609
2000,39,7216.17,30151,213.867
2050,40,7216.17,30039.7,219.282
2100,41,7216.17,30039.7,224.468
2150,42,7216.17,29493.1,229.78
2200,43,7216.17,29493.1,235.19
2250,44,7216.17,28535.4,240.495
2300,45,7216.17,28535.4,245.826
2350,46,7216.17,28081.4,251.157
2400,47,7216.17,27744.3,256.519
2450,48,7216.17,27744.3,261.842
2500,49,7216.17,27744.3,267.23
2550,50,7216.17,27744.3,272.592
2600,51,7216.17,27744.3,277.961
2650,52,7216.17,27744.3,283.362
2700,53,7216.17,27744.3,288.776
2750,54,7216.17,27744.3,294.301
2800,55,7216.17,27744.3,300.009
2850,56,7216.17,27744.3,305.491
2900,57,7216.17,27744.3,310.935
2950,58,7216.17,27744.3,316.351
3000,59,7216.17,27744.3,321.679
3050,60,7216.17,27744.3,327.109
3100,61,7216.17,27744.3,332.465
3150,62,7216.17,27744.3,337.86
3200,63,7216.17,27744.3,343.168
3250,64,7216.17,27744.3,348.672
3300,65,7216.17,27744.3,354.051
3350,66,7216.17,27744.3,359.379
3400,67,7216.17,26215.2,364.843
3450,68,7216.17,24487.3,370.112
3500,69,7216.17,24487.3,375.534
3550,70,7216.17,24487.3,380.762
3600,71,7216.17,24487.3,386.176
3650,72,7216.17,24487.3,391.394
3700,73,7216.17,23624.9,396.581
3750,74,7216.17,23624.9,401.899
3800,75,7216.17,23624.9,407.091
3850,76,7216.17,23519.9,412.266
3900,77,7216.17,23519.9,417.513
3950,78,7216.17,23519.9,422.821
4000,79,7216.17,23519.9,428.066
4050,80,7216.17,23519.9,433.425
4100,81,7216.17,23519.9,438.73
4150,82,7216.17,22494.7,443.944
4200,83,7216.17,22494.7,449.124
4250,84,7216.17,22494.7,454.294
4300,85,7216.17,22494.7,459.485
4350,86,7216.17,22494.7,464.652
4400,87,7216.17,22494.7,469.902
4450,88,7216.17,22494.7,475.123
4500,89,7216.17,22494.7,480.397
4550,90,7216.17,22494.7,485.936
4600,91,7216.17,22494.7,491.19
4650,92,7216.17,22494.7,496.328
4700,93,7216.17,22494.7,501.524
4750,94,7216.17,22494.7,506.803
4800,95,7216.17,21705.1,511.898
4850,96,7216.17,21705.1,517.124
4900,97,7216.17,21705.1,522.3
4950,98,7216.17,21705.1,527.506
5000,99,7216.17,21705.1,532.827
5050,100,7216.17,21705.1,538.016
5100,101,7216.17,21705.1,543.163
5150,102,7216.17,21705.1,548.72
5200,103,7216.17,21441,554.004
5250,104,7216.17,21441,559.185
5300,105,7216.17,21441,564.663
5350,106,7216.17,21441,570.048
5400,107,7216.17,21441,575.244
5450,108,7216.17,21441,580.478
5500,109,7216.17,21441,585.845
5550,110,7216.17,21441,591.013
5600,111,7216.17,21441,596.21
5650,112,7216.17,21441,601.43
5700,113,7216.17,21441,606.676
5750,114,7216.17,21441,612.374
5800,115,7216.17,21441,618.057
5850,116,7216.17,21441,623.23
5900,117,7216.17,20997,628.4
5950,118,7216.17,20997,633.609
6000,119,7216.17,20997,638.826
6050,120,7216.17,20997,644.66
6100,121,7216.17,20997,650.676
6150,122,7216.17,20997,656.168
6200,123,7216.17,20997,661.467
6250,124,7216.17,20997,666.791
6300,125,7216.17,20997,672.181
6350,126,7216.17,20997,677.512
6400,127,7216.17,20997,682.769
6450,128,7216.17,20997,688.068
6500,129,7216.17,20997,693.22
6550,130,7216.17,20997,698.614
6600,131,7216.17,20997,703.716
6650,132,7216.17,20997,708.914
6700,133,7216.17,20997,713.99
6750,134,7216.17,20997,719.287
6800,135,7216.17,20997,724.442
6850,136,7216.17,20997,729.508
6900,137,7216.17,20997,734.648
6950,138,7216.17,20997,739.939
7000,139,7216.17,20997,745.087
7050,140,7216.17,20997,750.261
7100,141,7216.17,20901.3,755.383
7150,142,7216.17,19984.6,760.763
7200,143,7216.17,19984.6,766.13
7250,144,7216.17,19984.6,771.363
7300,145,7216.17,19984.6,776.506
7350,146,7216.17,19984.6,781.708
7400,147,7216.17,18359,786.972
7450,148,7216.17,18359,792.166
7500,149,7216.17,18359,797.52
7550,150,7216.17,18359,802.991
7600,151,7216.17,18357.2,808.224
7650,152,7216.17,18357.2,813.315
7700,153,7216.17,18357.2,818.625
7750,154,7216.17,18357.2,823.748
7800,155,7216.17,18357.2,828.838
7850,156,7216.17,18357.2,834.107
7900,157,7216.17,18357.2,839.457
7950,158,7216.17,18357.2,844.649
8000,159,7216.17,18357.2,849.678
8050,160,7216.17,18357.2,854.83
8100,161,7216.17,18357.2,860.028
8150,162,7216.17,18357.2,865.284
8200,163,7216.17,17647.9,870.455
8250,164,7216.17,17647.9,875.637
8300,165,7216.17,17647.9,880.771
8350,166,7216.17,17416.8,886.111
8400,167,7216.17,17416.8,891.277
8450,168,7216.17,17416.8,896.48
8500,169,7216.17,16050.6,901.61
8550,170,7216.17,16050.6,906.946
8600,171,7216.17,16050.6,912.124
8650,172,7216.17,16050.6,917.32
8700,173,7216.17,16050.6,922.407
8750,174,7216.17,16050.6,927.693
8800,175,7216.17,16050.6,932.826
8850,176,7216.17,16050.6,938.073
8900,177,7216.17,16050.6,943.353
8950,178,7216.17,16050.6,948.621
9000,179,7216.17,16050.6,953.819
9050,180,7216.17,16050.6,959.035
9100,181,7216.17,16050.6,964.168
9150,182,7216.17,16050.6,969.557
9200,183,7216.17,16050.6,974.654
9250,184,7216.17,16050.6,979.886
9300,185,7216.17,16050.6,985.412
9350,186,7216.17,16050.6,990.625
9400,187,7216.17,16050.6,995.857
9450,188,7216.17,16050.6,1001.17
9500,189,7216.17,16050.6,1006.58
9550,190,7216.17,16050.6,1011.88
9600,191,7216.17,16050.6,1017.12
9650,192,7216.17,16050.6,1022.31
9700,193,7216.17,16050.6,1027.6
9750,194,7216.17,16050.6,1032.67
9800,195,7216.17,16050.6,1037.93
9850,196,7216.17,16050.6,1043.01
9900,197,7216.17,16050.6,1048.37
9950,198,7216.17,16050.6,1053.74
10000,199,7216.17,16050.6,1059.06
10050,200,7216.17,16050.6,1064.13
10100,201,7216.17,16050.6,1069.38
10150,202,7216.17,16050.6,1074.58
10200,203,7216.17,16050.6,1079.71
10250,204,7216.17,16050.6,1084.81
10300,205,7216.17,16050.6,1090.45
10350,206,7216.17,16050.6,1095.69
10400,207,7216.17,16050.6,1100.81
10450,208,7216.17,16050.6,1105.95
10500,209,7216.17,16050.6,1111.14
10550,210,7216.17,16050.6,1116.33
10600,211,7216.17,16050.6,1121.54
10650,212,7216.17,16050.6,1126.7
10700,213,7216.17,16050.6,1131.91
10750,214,7216.17,16050.6,1137.12
10800,215,7216.17,16050.6,1142.27
10850,216,7216.17,16050.6,1147.41
10900,217,7216.17,16050.6,1152.62
10950,218,7216.17,16050.6,1157.84
11000,219,7216.17,16050.6,1162.95
11050,220,7216.17,16050.6,1168.16
11100,221,7216.17,16050.6,1173.6
11150,222,7216.17,16050.6,1178.75
11200,223,7216.17,16050.6,1184.03
11250,224,7216.17,16050.6,1189.2
11300,225,7216.17,16050.6,1194.43
11350,226,7216.17,16050.6,1199.56
11400,227,7216.17,16050.6,1204.73
11450,228,7216.17,16050.6,1209.92
11500,229,7216.17,16050.6,1215.32
11550,230,7216.17,16050.6,1220.49
11600,231,7216.17,16050.6,1225.68
11650,232,7216.17,16050.6,1230.96
11700,233,7216.17,16050.6,1236.22
11750,234,7216.17,16050.6,1241.38
11800,235,7216.17,16050.6,1246.91
11850,236,7216.17,16050.6,1252.14
11900,237,7216.17,16050.6,1257.33
11950,238,7216.17,16050.6,1262.45
12000,239,7216.17,16050.6,1267.64
12050,240,7216.17,16050.6,1272.88
12100,241,7216.17,16050.6,1278.12
12150,242,7216.17,16050.6,1283.28
12200,243,7216.17,16050.6,1288.42
12250,244,7216.17,14187.9,1293.63
12300,245,7216.17,14187.9,1299.11
12350,246,7216.17,14187.9,1304.39
12400,247,7216.17,14187.9,1309.57
12450,248,7216.17,14187.9,1314.76
12500,249,7216.17,14187.9,1319.92
12550,250,7216.17,14187.9,1325.06
12600,251,7216.17,14187.9,1330.18
12650,252,7216.17,14187.9,1335.36
12700,253,7216.17,14187.9,1340.6
12750,254,7216.17,14187.9,1345.73
12800,255,7216.17,14187.9,1350.9
12850,256,7216.17,14187.9,1356.21
12900,257,7216.17,14187.9,1361.34
12950,258,7216.17,14187.9,1366.46
13000,259,7216.17,14187.9,1371.69
13050,260,7216.17,14187.9,1377.02
13100,261,7216.17,14187.9,1382.16
13150,262,7216.17,14187.9,1387.31
13200,263,7216.17,14187.9,1392.45
13250,264,7216.17,14187.9,1397.58
13300,265,7216.17,14187.9,1402.86
13350,266,7216.17,14187.9,1408.06
13400,267,7216.17,14187.9,1413.16
13450,268,7216.17,14187.9,1418.4
13500,269,7216.17,14187.9,1423.64
13550,270,7216.17,14187.9,1428.78
13600,271,7216.17,14187.9,1434.01
13650,272,7216.17,14187.9,1439.17
13700,273,7216.17,14187.9,1444.4
13750,274,7216.17,14187.9,1449.58
13800,275,7216.17,14187.9,1454.79
13850,276,7216.17,14187.9,1460.01
13900,277,7216.17,14187.9,1465.25
13950,278,7216.17,14187.9,1470.5
14000,279,7216.17,14187.9,1475.79
14050,280,7216.17,14187.9,1481.02
14100,281,7216.17,14187.9,1486.24
14150,282,7216.17,14187.9,1491.4
14200,283,7216.17,14187.9,1496.6
14250,284,7216.17,14187.9,1501.79
14300,285,7216.17,14187.9,1507
14350,286,7216.17,14187.9,1512.15
14400,287,7216.17,14187.9,1517.52
14450,288,7216.17,14187.9,1522.93
14500,289,7216.17,14187.9,1528.64
14550,290,7216.17,14187.9,1533.89
14600,291,7216.17,14187.9,1539.17
14650,292,7216.17,14187.9,1544.48
14700,293,7216.17,14187.9,1549.95
14750,294,7216.17,14187.9,1555.38
14800,295,7216.17,14187.9,1560.74
14850,296,7216.17,14187.9,1566.04
14900,297,7216.17,14187.9,1571.31
14950,298,7216.17,14187.9,1576.47
15000,299,7216.17,14187.9,1581.79
15050,300,7216.17,14187.9,1587.07
15100,301,7216.17,14187.9,1592.24
15150,302,7216.17,14187.9,1597.48
15200,303,7216.17,14187.9,1602.73
15250,304,7216.17,14187.9,1607.98
15300,305,7216.17,14187.9,1613.24
15350,306,7216.17,14187.9,1618.52
15400,307,7216.17,14187.9,1624.08
15450,308,7216.17,14187.9,1629.35
15500,309,7216.17,14187.9,1634.57
15550,310,7216.17,14187.9,1639.84
15600,311,7208.63,14187.9,1645.05
15650,312,7208.63,14187.9,1650.29
15700,313,7208.63,14187.9,1655.58
15750,314,7208.63,14187.9,1660.92
15800,315,7208.63,14187.9,1666.18
15850,316,7208.63,14187.9,1671.46
15900,317,7208.63,13013.8,1676.72
15950,318,7208.63,13013.8,1682.03
16000,319,7208.63,13013.8,1687.2
16050,320,7208.63,13013.8,1692.38
16100,321,7208.63,13013.8,1697.61
16150,322,7208.63,13013.8,1702.96
16200,323,7208.63,13013.8,1708.25
16250,324,7208.63,13013.8,1713.36
16300,325,7208.63,13013.8,1718.78
16350,326,7208.63,13013.8,1723.98
16400,327,7208.63,13013.8,1729.25
16450,328,7208.63,13013.8,1734.65
16500,329,7208.63,13013.8,1739.92
16550,330,7208.63,13013.8,1745.12
16600,331,7208.63,13013.8,1750.34
16650,332,7208.63,13013.8,1755.6
16700,333,7208.63,13013.8,1760.88
16750,334,7208.63,13013.8,1766.11
16800,335,7208.63,13013.8,1771.32
16850,336,7208.63,13013.8,1776.56
16900,337,7208.63,13013.8,1781.84
16950,338,7208.63,13013.8,1787.15
17000,339,7208.63,13013.8,1792.44
17050,340,7208.63,13013.8,1797.99
17100,341,7208.63,13013.8,1803.29
17150,342,7208.63,13013.8,1808.55
17200,343,7208.63,13013.8,1813.7
17250,344,7208.63,13013.8,1819.11
17300,345,7208.63,13013.8,1824.32
17350,346,7208.63,13013.8,1829.5
17400,347,7208.63,13013.8,1834.72
17450,348,7208.63,13013.8,1840.07
17500,349,7208.63,13013.8,1845.31
17550,350,7208.63,13013.8,1850.6
17600,351,7208.63,13013.8,1855.9
17650,352,7208.63,13013.8,1861.28
17700,353,7208.63,13013.8,1866.56
17750,354,7208.63,13013.8,1871.75
17800,355,7208.63,13013.8,1877.07
17850,356,7208.63,13013.8,1882.22
17900,357,7208.63,13013.8,1887.43
17950,358,7208.63,13013.8,1892.62
18000,359,7202.04,13013.8,1897.79
18050,360,7202.04,13013.8,1903.04
18100,361,7202.04,13013.8,1908.34
18150,362,7202.04,13013.8,1913.5
18200,363,7202.04,13013.8,1918.91
18250,364,7202.04,13013.8,1924.18
18300,365,7202.04,13013.8,1929.43
18350,366,7202.04,13013.8,1934.78
18400,367,7202.04,13013.8,1940.06
18450,368,7202.04,13013.8,1945.33
18500,369,7202.04,13013.8,1950.54
18550,370,7202.04,13013.8,1955.72
18600,371,7202.04,13013.8,1960.98
18650,372,7202.04,13013.8,1966.3
18700,373,7202.04,13013.8,1971.7
18750,374,7202.04,13013.8,1977.06
18800,375,7202.04,13013.8,1982.33
18850,376,7202.04,13013.8,1987.86
18900,377,7202.04,13013.8,1993.12
18950,378,7202.04,13013.8,1998.43
19000,379,7202.04,13013.8,2003.67
19050,380,7202.04,13013.8,2008.87
19100,381,7202.04,13013.8,2014.08
19150,382,7202.04,13013.8,2019.4
19200,383,7202.04,13013.8,2024.73
19250,384,7202.04,13013.8,2030.03
19300,385,7202.04,13013.8,2035.58
19350,386,7202.04,13013.8,2040.85
19400,387,7202.04,13013.8,2046.19
19450,388,7202.04,13013.8,2051.76
19500,389,7202.04,13013.8,2057.16
19550,390,7202.04,13013.8,2062.37
19600,391,7202.04,13013.8,2067.66
19650,392,7202.04,13013.8,2072.93
19700,393,7202.04,13013.8,2078.29
19750,394,7202.04,13013.8,2083.51
19800,395,7202.04,13013.8,2088.71
19850,396,7202.04,13013.8,2093.96
19900,397,7202.04,13013.8,2099.21
19950,398,7202.04,13013.8,2104.44
20000,399,7202.04,13013.8,2109.68
20050,400,7202.04,13013.8,2115.05
20100,401,7202.04,13013.8,2120.27
20150,402,7202.04,13013.8,2125.47
20200,403,7202.04,13013.8,2130.68
20250,404,7202.04,13013.8,2135.99
20300,405,7202.04,13013.8,2141.26
20350,406,7202.04,13013.8,2146.46
20400,407,7202.04,13013.8,2151.85
20450,408,7202.04,13013.8,2157.31
20500,409,7202.04,13013.8,2162.68
20550,410,7202.04,13013.8,2167.96
20600,411,7202.04,13013.8,2173.24
20650,412,7202.04,13013.8,2178.56
20700,413,7202.04,13013.8,2183.79
20750,414,7202.04,13013.8,2189.01
20800,415,7202.04,13013.8,2194.2
20850,416,7202.04,13013.8,2199.46
20900,417,7202.04,13013.8,2204.65
20950,418,7202.04,13013.8,2209.85
21000,419,7202.04,13013.8,2215.05
21050,420,7202.04,13013.8,2220.26
21100,421,7202.04,13013.8,2225.46
21150,422,7202.04,13013.8,2230.62
21200,423,7202.04,13013.8,2235.95
21250,424,7202.04,13013.8,2241.16
21300,425,7202.04,13013.8,2246.33
21350,426,7202.04,13013.8,2251.53
21400,427,7202.04,13013.8,2256.96
21450,428,7202.04,13013.8,2262.12
21500,429,7202.04,13013.8,2267.36
21550,430,7202.04,13013.8,2272.54
21600,431,7202.04,13013.8,2277.87
21650,432,7202.04,13013.8,2283.05
21700,433,7202.04,13013.8,2288.35
21750,434,7202.04,13013.8,2293.56
21800,435,7202.04,13013.8,2298.93
21850,436,7202.04,13013.8,2304.28
21900,437,7202.04,13013.8,2309.58
21950,438,7202.04,13013.8,2314.85
22000,439,7202.04,13013.8,2320.15
22050,440,7202.04,13013.8,2325.39
22100,441,7202.04,13013.8,2330.56
22150,442,7202.04,13013.8,2335.92
22200,443,7202.04,13013.8,2341.12
22250,444,7202.04,13013.8,2346.33
22300,445,7202.04,13013.8,2351.47
22350,446,7202.04,13013.8,2356.81
22400,447,7202.04,13013.8,2362.01
22450,448,7202.04,13013.8,2367.24
22500,449,7202.04,13013.8,2372.54
22550,450,7202.04,13013.8,2377.86
22600,451,7202.04,13013.8,2383.08
22650,452,7202.04,13013.8,2388.31
22700,453,7202.04,13013.8,2393.5
22750,454,7202.04,13013.8,2398.81
22800,455,7202.04,13013.8,2404.05
22850,456,7202.04,13013.8,2409.28
22900,457,7202.04,13013.8,2414.41
22950,458,7202.04,13013.8,2419.83
23000,459,7202.04,13013.8,2425.06
23050,460,7202.04,13013.8,2430.26
23100,461,7202.04,13013.8,2435.61
23150,462,7202.04,13013.8,2440.89
23200,463,7202.04,13013.8,2446.14
23250,464,7202.04,13013.8,2451.3
23300,465,7202.04,13013.8,2456.63
23350,466,7202.04,13013.8,2461.81
23400,467,7202.04,13013.8,2467.03
23450,468,7202.04,13013.8,2472.12
23500,469,7202.04,13013.8,2477.47
23550,470,7202.04,13013.8,2482.75
23600,471,7202.04,13013.8,2488.01
23650,472,7202.04,13013.8,2493.3
23700,473,7202.04,13013.8,2499.01
23750,474,7202.04,13013.8,2504.26
23800,475,7202.04,13013.8,2509.53
23850,476,7202.04,13013.8,2514.78
23900,477,7202.04,13013.8,2520.02
23950,478,7202.04,13013.8,2525.32
24000,479,7202.04,13013.8,2530.6
24050,480,7202.04,13013.8,2536.18
24100,481,7202.04,13013.8,2541.41
24150,482,7202.04,13013.8,2546.68
24200,483,7202.04,13013.8,2552.2
24250,484,7202.04,13013.8,2557.51
24300,485,7202.04,13013.8,2562.63
24350,486,7202.04,13013.8,2567.87
24400,487,7202.04,13013.8,2573.17
24450,488,7202.04,13013.8,2578.41
24500,489,7202.04,12064.5,2583.53
24550,490,7202.04,12064.5,2588.8
24600,491,7202.04,12064.5,2594.07
24650,492,7202.04,12064.5,2599.31
24700,493,7202.04,12064.5,2604.56
24750,494,7202.04,12064.5,2609.68
24800,495,7202.04,12064.5,2614.99
24850,496,7202.04,12064.5,2620.3
24900,497,7202.04,12064.5,2625.47
24950,498,7202.04,12064.5,2630.61
25000,499,7202.04,12064.5,2635.95
25050,500,7202.04,12064.5,2641.14
25100,501,7202.04,12064.5,2646.31
25150,502,7202.04,12064.5,2651.59
25200,503,7202.04,12064.5,2656.88
25250,504,7202.04,12064.5,2662.04
25300,505,7202.04,12064.5,2667.28
25350,506,7202.04,12064.5,2672.43
25400,507,7202.04,12064.5,2677.71
25450,508,7202.04,12064.5,2682.89
25500,509,7202.04,12064.5,2688.28
25550,510,7202.04,12064.5,2693.59
25600,511,7202.04,12064.5,2698.93
25650,512,7202.04,12064.5,2704.15
25700,513,7202.04,12064.5,2709.33
25750,514,7202.04,12064.5,2714.47
25800,515,7202.04,12064.5,2719.84
25850,516,7202.04,12064.5,2725.06
25900,517,7202.04,12064.5,2730.18
25950,518,7202.04,12064.5,2735.64
26000,519,7202.04,12064.5,2741.13
26050,520,7202.04,12064.5,2746.62
26100,521,7202.04,12064.5,2751.81
26150,522,7202.04,12064.5,2757.09
26200,523,7202.04,12064.5,2762.52
26250,524,7202.04,12064.5,2767.95
26300,525,7202.04,12064.5,2773.36
26350,526,7202.04,12064.5,2778.81
26400,527,7202.04,12064.5,2784.05
26450,528,7202.04,12064.5,2789.34
26500,529,7202.04,12064.5,2794.76
26550,530,7202.04,12064.5,2800.36
26600,531,7202.04,12064.5,2805.78
26650,532,7202.04,12064.5,2811.14
26700,533,7202.04,12064.5,2816.51
26750,534,7202.04,12064.5,2821.85
26800,535,7202.04,12064.5,2827.46
26850,536,7202.04,12064.5,2832.93
26900,537,7202.04,12064.5,2838.29
26950,538,7202.04,12064.5,2843.46
27000,539,7202.04,12064.5,2848.77
27050,540,7202.04,12064.5,2853.98
27100,541,7202.04,12064.5,2859.25
27150,542,7202.04,12064.5,2864.8
27200,543,7202.04,12064.5,2870.06
27250,544,7202.04,12064.5,2875.28
27300,545,7202.04,12064.5,2880.51
27350,546,7202.04,12064.5,2885.79
27400,547,7202.04,12064.5,2891.05
27450,548,7202.04,12064.5,2896.34
27500,549,7202.04,12064.5,2901.54
27550,550,7202.04,12064.5,2906.78
27600,551,7202.04,12064.5,2912.03
27650,552,7202.04,12064.5,2917.28
27700,553,7202.04,12064.5,2922.56
27750,554,7202.04,12064.5,2928.11
27800,555,7202.04,12064.5,2933.41
27850,556,7202.04,12064.5,2938.76
27900,557,7202.04,12064.5,2943.99
27950,558,7202.04,12064.5,2949.31
28000,559,7202.04,12064.5,2954.53
28050,560,7202.04,12064.5,2959.64
28100,561,7202.04,12064.5,2964.99
28150,562,7202.04,12064.5,2970.3
28200,563,7202.04,12064.5,2975.83
28250,564,7202.04,12064.5,2981.15
28300,565,7202.04,12064.5,2986.62
28350,566,7202.04,12064.5,2991.8
28400,567,7202.04,12064.5,2997.06
28450,568,7202.04,12064.5,3002.34
28500,569,7202.04,12064.5,3007.6
28550,570,7202.04,12064.5,3012.79
28600,571,7202.04,12064.5,3018.03
28650,572,7202.04,12064.5,3023.19
28700,573,7202.04,12064.5,3028.38
28750,574,7202.04,12064.5,3033.62
28800,575,7202.04,12064.5,3038.81
28850,576,7202.04,12064.5,3044.09
28900,577,7202.04,12064.5,3049.57
28950,578,7202.04,12064.5,3054.93
29000,579,7202.04,12064.5,3060.19
29050,580,7202.04,12064.5,3065.57
29100,581,7202.04,12064.5,3070.86
29150,582,7202.04,12064.5,3076.23
29200,583,7202.04,12064.5,3081.61
29250,584,7202.04,12064.5,3086.85
29300,585,7202.04,12064.5,3092.05
29350,586,7202.04,12064.5,3097.33
29400,587,7202.04,12064.5,3102.78
29450,588,7202.04,12064.5,3108.03
29500,589,7202.04,12064.5,3113.28
29550,590,7202.04,12064.5,3118.53
29600,591,7202.04,12064.5,3123.86
29650,592,7202.04,12064.5,3129.13
29700,593,7202.04,12064.5,3134.39
29750,594,7202.04,12064.5,3139.64
29800,595,7202.04,12064.5,3144.97
29850,596,7202.04,12064.5,3150.35
29900,597,7202.04,12064.5,3155.51
29950,598,7202.04,12064.5,3160.83
30000,599,7202.04,12064.5,3166.06
30050,600,7202.04,12064.5,3171.27
30100,601,7202.04,12064.5,3176.56
30150,602,7202.04,12064.5,3181.79
30200,603,7202.04,12064.5,3187.07
30250,604,7202.04,12064.5,3192.3
30300,605,7202.04,12064.5,3197.55
30350,606,7202.04,12064.5,3202.9
30400,607,7202.04,12064.5,3208.19
30450,608,7202.04,12064.5,3213.38
30500,609,7202.04,12064.5,3218.57
