Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
50,0,7216.17,49170.9,5.596
100,1,7216.17,48164.3,11.179
150,2,7216.17,46372.4,16.591
200,3,7216.17,45497.3,21.917
250,4,7216.17,44394.2,27.232
300,5,7216.17,42557.7,32.603
350,6,7216.17,41328.8,37.874
400,7,7216.17,41328.8,43.107
450,8,7216.17,40131.8,48.367
500,9,7216.17,38556.7,53.66
550,10,7216.17,35914.4,58.911
600,11,7216.17,35914.4,64.184
650,12,7216.17,35569.7,69.527
700,13,7216.17,35569.7,74.841
750,14,7216.17,35569.7,80.097
800,15,7216.17,35569.7,85.366
850,16,7216.17,35569.7,90.639
900,17,7216.17,35569.7,95.91
950,18,7216.17,34337.7,101.12
1000,19,7216.17,34337.7,106.468
1050,20,7216.17,34337.7,111.739
1100,21,7216.17,34337.7,116.935
1150,22,7216.17,34337.7,122.183
1200,23,7216.17,34337.7,127.37
1250,24,7216.17,34337.7,132.634
1300,25,7216.17,34337.7,138.293
1350,26,7216.17,34337.7,143.846
1400,27,7216.17,34337.7,149.159
1450,28,7216.17,34337.7,154.636
1500,29,7216.17,34337.7,159.915
1550,30,7216.17,34337.7,165.273
1600,31,7216.17,34337.7,170.558
1650,32,7216.17,34337.7,175.679
1700,33,7216.17,34337.7,180.935
1750,34,7216.17,34337.7,186.167
1800,35,7216.17,34337.7,191.39
1850,36,7216.17,34337.7,196.626
1900,37,7216.17,34337.7,201.91
1950,38,7216.17,34337.7,207.176
2000,39,7216.17,33916.4,212.487
2050,40,7216.17,33916.4,217.791
2100,41,7216.17,33916.4,223.034
2150,42,7216.17,28881.3,228.415
2200,43,7216.17,28881.3,233.635
2250,44,7216.17,28881.3,238.814
2300,45,7216.17,28881.3,244.13
2350,46,7216.17,28881.3,249.446
2400,47,7216.17,28881.3,254.848
2450,48,7216.17,28881.3,260.181
2500,49,7216.17,28881.3,265.482
2550,50,7216.17,28881.3,270.699
2600,51,7216.17,28881.3,276.001
2650,52,7216.17,28881.3,281.226
2700,53,7216.17,28881.3,286.475
2750,54,7216.17,28734,291.694
2800,55,7216.17,28734,296.924
2850,56,7216.17,28734,302.163
2900,57,7216.17,28734,307.456
2950,58,7216.17,28734,312.777
3000,59,7216.17,28734,317.939
3050,60,7216.17,28734,323.308
3100,61,7216.17,28734,328.506
3150,62,7216.17,26116.8,333.663
3200,63,7216.17,26116.8,338.881
3250,64,7216.17,26116.8,344.159
3300,65,7216.17,26116.8,349.415
3350,66,7216.17,26116.8,354.805
3400,67,7216.17,26116.8,360.028
3450,68,7216.17,26116.8,365.397
3500,69,7216.17,26116.8,370.648
3550,70,7216.17,26116.8,375.907
3600,71,7216.17,26116.8,381.215
3650,72,7216.17,26116.8,386.539
3700,73,7216.17,25967.6,391.787
3750,74,7216.17,25967.6,397.049
3800,75,7216.17,25967.6,402.337
3850,76,7216.17,25967.6,407.627
3900,77,7216.17,24451.3,412.863
3950,78,7216.17,24451.3,418.109
4000,79,7216.17,23509.4,423.532
4050,80,7216.17,23509.4,428.705
4100,81,7216.17,23509.4,433.974
4150,82,7216.17,23509.4,439.201
4200,83,7216.17,23509.4,444.543
4250,84,7216.17,23509.4,449.813
4300,85,7216.17,23509.4,455.11
4350,86,7216.17,23509.4,460.357
4400,87,7216.17,23509.4,465.615
4450,88,7216.17,23509.4,470.848
4500,89,7216.17,23509.4,476.07
4550,90,7216.17,23509.4,481.365
4600,91,7216.17,23509.4,486.623
4650,92,7216.17,23509.4,491.936
4700,93,7216.17,23509.4,497.212
4750,94,7216.17,23509.4,502.647
4800,95,7216.17,23509.4,508.055
4850,96,7216.17,23509.4,513.345
4900,97,7216.17,23509.4,518.608
4950,98,7216.17,23509.4,524.066
5000,99,7216.17,23509.4,529.231
5050,100,7216.17,23509.4,534.454
5100,101,7216.17,23509.4,539.74
5150,102,7216.17,23509.4,545.152
5200,103,7216.17,23509.4,550.397
5250,104,7216.17,23509.4,555.702
5300,105,7216.17,23509.4,561.125
5350,106,7216.17,23509.4,566.346
5400,107,7216.17,23509.4,571.574
5450,108,7216.17,23509.4,576.815
5500,109,7216.17,23509.4,582.223
5550,110,7216.17,23509.4,587.477
5600,111,7216.17,23509.4,592.993
5650,112,7216.17,23509.4,598.226
5700,113,7216.17,23509.4,603.728
5750,114,7216.17,23509.4,609.127
5800,115,7216.17,23509.4,614.559
5850,116,7216.17,23509.4,620.056
5900,117,7216.17,23509.4,625.547
5950,118,7216.17,23509.4,630.919
6000,119,7216.17,23509.4,636.636
6050,120,7216.17,23509.4,642.281
6100,121,7216.17,23509.4,647.567
6150,122,7216.17,23509.4,652.883
6200,123,7216.17,23509.4,658.116
6250,124,7216.17,23509.4,663.472
6300,125,7216.17,23509.4,668.73
6350,126,7216.17,23509.4,674.087
6400,127,7216.17,23509.4,679.388
6450,128,7216.17,23509.4,684.756
6500,129,7216.17,23509.4,690.115
6550,130,7216.17,23509.4,695.549
6600,131,7216.17,23509.4,700.813
6650,132,7216.17,23509.4,706.131
6700,133,7216.17,23509.4,711.696
6750,134,7216.17,22733.9,716.982
6800,135,7216.17,22733.9,722.287
6850,136,7216.17,21981.9,727.727
6900,137,7216.17,21981.9,732.951
6950,138,7216.17,21981.9,738.22
7000,139,7216.17,21981.9,743.543
7050,140,7216.17,21981.9,748.997
7100,141,7216.17,21981.9,754.639
7150,142,7216.17,20525.9,760.097
7200,143,7216.17,20525.9,765.578
7250,144,7216.17,20525.9,770.876
7300,145,7216.17,20525.9,776.123
7350,146,7216.17,18975.7,781.391
7400,147,7216.17,18975.7,786.7
7450,148,7216.17,18975.7,791.908
7500,149,7216.17,18975.7,797.195
7550,150,7216.17,18975.7,802.41
7600,151,7216.17,18975.7,808.834
7650,152,7216.17,18975.7,814.228
7700,153,7216.17,18975.7,819.531
7750,154,7216.17,18975.7,824.815
