Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,7283.03,50170,0.098
100,1,7283.03,48896.8,7.52
200,2,7283.03,46865.8,13.888
300,3,7357.79,38087,20.526
400,4,7357.79,33015.2,27.249
500,5,7357.79,17171.6,34.013
600,6,7357.79,14010.6,42.125
700,7,7357.79,12241.8,48.892
800,8,7357.79,10954.2,55.457
900,9,7357.79,9836.74,61.925
1000,10,7357.79,10627.4,68.042
1100,11,7357.79,9591.83,74.979
1200,12,7357.79,9265.29,81.39
1300,13,7357.79,9345.06,87.854
1400,14,7357.79,9674.54,94.579
1500,15,7357.79,9543.51,101.072
1600,16,7357.79,9952.72,107.928
1700,17,7357.79,9381.49,114.479
1800,18,7357.79,9950.24,121.131
1900,19,7357.79,9391.33,127.569
2000,20,7357.79,9520.75,134.073
2100,21,7357.79,9457.79,140.849
2200,22,7357.79,9608.89,147.379
2300,23,7357.79,9612.33,153.671
2400,24,7357.79,9842.38,160.154
2500,25,7357.79,9176.1,166.381
2600,26,7357.79,9866.7,172.933
2700,27,7357.79,9628.48,179.684
2800,28,7357.79,9540.77,186.058
2900,29,7357.79,9971.19,192.606
3000,30,7357.79,9135.4,199.011
3100,31,7357.79,9710.71,205.812
3200,32,7357.79,9308.44,212.513
3300,33,7357.79,9580.78,219.003
3400,34,7357.79,9494.69,225.666
3500,35,7357.79,9658.08,232.43
3600,36,7357.79,9793.1,239.636
3700,37,7357.79,8872.96,246.38
3800,38,7357.79,9856.97,253.07
3900,39,7357.79,9367.51,259.565
4000,40,7357.79,9580.88,266.195
4100,41,7357.79,9895.2,273.15
4200,42,7357.79,9405.94,279.688
4300,43,7357.79,9166.86,286.621
4400,44,7357.79,9317.81,293.708
4500,45,7357.79,9417.37,300.462
4600,46,7357.79,9340.26,307.403
4700,47,7357.79,9842.38,314.415
4800,48,7357.62,9279.62,320.601
4900,49,7357.62,9394.2,327.115
5000,50,7357.62,9816.56,333.686
5100,51,7357.62,9934.73,340.467
5200,52,7357.62,9265.65,346.984
5300,53,7357.62,9319.04,353.502
5400,54,7357.62,9494.54,359.888
5500,55,7357.62,9485.91,366.453
5600,56,7357.62,9528.47,373.759
5700,57,7357.62,9836.17,380.208
5800,58,7357.62,10202.3,386.551
5900,59,7357.62,9450.74,392.969
6000,60,7357.62,9165.78,399.594
6100,61,7357.62,10031.7,406.434
6200,62,7357.62,9027.06,413.099
6300,63,7357.62,9484.88,419.592
6400,64,7357.62,10216.8,426.059
6500,65,7357.62,9723.32,432.807
6600,66,7357.62,10206.7,439.483
6700,67,7357.62,9627.1,446.028
6800,68,7357.62,9563.73,452.538
