Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,7267.14,50579,0.095
100,1,7283.03,48413.7,6.532
200,2,7283.03,44266.6,12.449
300,3,7283.03,41812.8,18.637
400,4,7283.03,38615.1,24.87
500,5,7283.03,37153.3,31.51
600,6,7283.03,35295.6,37.845
700,7,7283.03,33610.3,43.804
800,8,7283.03,33279.1,50.466
900,9,7283.03,31813.7,56.9
1000,10,7283.03,35703.9,63.229
1100,11,7283.03,36139.5,69.506
1200,12,7283.03,36594.3,76.119
1300,13,7283.03,31338.4,82.751
1400,14,7283.03,9668.63,89.058
1500,15,7283.03,9526.62,95.311
1600,16,7283.03,9919.08,101.847
1700,17,7283.03,9319.59,107.862
1800,18,7283.03,9402.09,114.039
1900,19,7283.03,10229.5,120.406
2000,20,7283.03,9266.14,126.004
2100,21,7283.03,8833.63,132.331
2200,22,7283.03,9556.76,138.238
2300,23,7283.03,9229.22,144.411
2400,24,7283.03,9793.08,150.942
2500,25,7283.03,9506.01,157.063
2600,26,7283.03,9293.14,163.564
2700,27,7283.03,9256,170.103
2800,28,7283.03,9965.31,176.176
2900,29,7283.03,9916.95,182.674
3000,30,7283.03,9751.43,188.404
3100,31,7283.03,9961.75,194.642
3200,32,7283.03,10300,201.065
3300,33,7283.03,9128.65,207.813
3400,34,7283.03,8935.03,214.299
3500,35,7283.03,9284.15,220.783
3600,36,7283.03,9283.55,226.712
3700,37,7283.03,9274.44,233.381
3800,38,7283.03,9618.78,239.736
3900,39,7283.03,8983.79,245.703
4000,40,7283.03,9436.42,251.804
4100,41,7283.03,9515.54,258.414
4200,42,7283.03,9817.47,265.6
4300,43,7283.03,9469.11,271.822
4400,44,7283.03,9140.93,278.442
4500,45,7283.03,9550.04,284.934
4600,46,7283.03,9667.39,290.847
4700,47,7283.03,9462.22,297.289
4800,48,7283.03,9382.92,303.88
4900,49,7283.03,9216.37,310.036
5000,50,7283.03,9391.02,316.408
5100,51,7283.03,9280.58,322.655
5200,52,7283.03,10152,329.304
5300,53,7283.03,9187.96,336.006
5400,54,7283.03,9742.5,342.716
5500,55,7283.03,9879.98,348.925
5600,56,7283.03,9283.55,355.263
5700,57,7283.03,9228.32,361.566
5800,58,7283.03,9047.63,367.957
5900,59,7283.03,9974.2,373.982
6000,60,7283.03,9310.41,380.19
6100,61,7267.14,9437.1,386.499
6200,62,7267.14,9612.27,392.957
6300,63,7267.14,9811.39,398.968
6400,64,7267.14,9647.49,405.353
6500,65,7267.14,9165.67,412.199
6600,66,7267.14,9539.21,418.634
6700,67,7267.14,9489.5,424.962
6800,68,7267.14,8497.2,431.066
6900,69,7267.14,9457.9,437.457
7000,70,7267.14,9808.6,443.342
7100,71,7267.14,9638.42,449.567
7200,72,7267.14,9242.32,455.879
7300,73,7267.14,9264.7,462.384
7400,74,7267.14,9738.67,468.856
7500,75,7267.14,9893.54,474.998
7600,76,7267.14,9500.12,481.057
7700,77,7267.14,9404.15,487.214
7800,78,7267.14,9114.78,493.317
7900,79,7267.14,9383.54,499.628
8000,80,7267.14,9923.56,505.929
8100,81,7267.14,8954.94,513.377
8200,82,7267.14,9859.33,519.529
8300,83,7267.14,9431.64,526.12
8400,84,7267.14,9366.44,532.749
8500,85,7267.14,9064.8,538.957
8600,86,7267.14,8752.81,545.194
8700,87,7267.14,9845.52,551.37
8800,88,7267.14,9625.51,557.375
8900,89,7267.14,9452.82,563.939
9000,90,7267.14,9274.44,570.485
9100,91,7267.14,9441.42,576.719
9200,92,7267.14,9941.96,582.69
9300,93,7267.14,9483.69,588.981
9400,94,7267.14,9453.23,595.056
9500,95,7267.14,10318.7,601.533
9600,96,7267.14,9348.45,607.596
9700,97,7267.14,9600.17,613.868
9800,98,7267.14,9473.25,619.917
9900,99,7267.14,8488.52,625.897
10000,100,7267.14,9249.73,632.044
10100,101,7267.14,9538.48,638.469
10200,102,7267.14,9670.25,644.611
10300,103,7267.14,9313.94,650.824
10400,104,7267.14,10012.2,656.85
10500,105,7267.14,9694.08,663.644
10600,106,7267.14,9670.09,670.081
10700,107,7265.22,9621.62,676.132
10800,108,7265.22,9999.35,682.193
10900,109,7265.22,9084.65,688.584
11000,110,7265.22,9601.07,694.743
11100,111,7265.22,9368.01,701.111
11200,112,7265.22,8962.03,707.388
11300,113,7265.22,9353.45,714.046
11400,114,7265.22,9325.6,720.825
11500,115,7265.22,9839.39,727.157
11600,116,7265.22,9427.62,733.882
11700,117,7265.22,9124.46,739.854
11800,118,7265.22,9840.19,746.055
11900,119,7265.22,9149.5,752.229
12000,120,7265.22,9483.06,758.965
12100,121,7265.22,10016.4,765.306
12200,122,7265.22,9801.44,771.305
12300,123,7265.22,8980.09,777.349
12400,124,7263.72,9762.05,784.143
12500,125,7263.72,10056.6,790.607
12600,126,7263.72,9860.15,796.995
12700,127,7263.72,9183.15,802.998
12800,128,7263.72,9483.67,809.753
12900,129,7263.72,9201.98,816.279
13000,130,7263.72,8685.43,822.321
13100,131,7263.72,8945.65,828.892
