Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
100,0,1.93493e+06,1.35148e+08,468.177
200,1,1.93493e+06,1.34593e+08,926.658
300,2,1.93493e+06,1.3403e+08,1385.17
400,3,1.93493e+06,1.33028e+08,1852.29
500,4,1.93493e+06,1.26201e+08,2309.97
600,5,1.93493e+06,1.21536e+08,2766.86
700,6,1.93493e+06,1.21536e+08,3225.34
800,7,1.93493e+06,1.19931e+08,3688.07
900,8,1.93493e+06,1.15681e+08,4147.68
1000,9,1.93493e+06,1.10087e+08,4608.29
1100,10,1.93493e+06,1.01617e+08,5074.42
1200,11,1.93493e+06,1.01617e+08,5538.35
1300,12,1.93493e+06,1.01617e+08,5998.11
1400,13,1.93493e+06,9.75631e+07,6454.48
1500,14,1.93493e+06,9.35989e+07,6911.07
1600,15,1.93493e+06,9.35989e+07,7369.95
1700,16,1.93493e+06,9.29935e+07,7827.17
1800,17,1.93493e+06,9.16117e+07,8292.94
1900,18,1.93493e+06,9.16117e+07,8755.01
2000,19,1.93493e+06,9.16117e+07,9219.35
2100,20,1.93493e+06,9.16117e+07,9686.9
2200,21,1.93493e+06,9.16117e+07,10149.9
2300,22,1.93493e+06,9.16117e+07,10606.3
2400,23,1.93493e+06,9.16117e+07,11068.9
2500,24,1.93493e+06,9.16117e+07,11523.3
2600,25,1.93493e+06,9.16117e+07,11977.8
2700,26,1.93493e+06,9.16117e+07,12438.2
2800,27,1.93493e+06,9.10965e+07,12894.1
2900,28,1.93493e+06,9.10965e+07,13357.3
3000,29,1.93493e+06,8.54118e+07,13815.4
3100,30,1.93493e+06,8.47075e+07,14274.1
3200,31,1.93493e+06,8.47075e+07,14727.6
3300,32,1.93493e+06,8.47075e+07,15181.7
3400,33,1.93493e+06,8.47075e+07,15638.6
3500,34,1.93493e+06,8.47075e+07,16094
3600,35,1.93493e+06,8.47075e+07,16551
3700,36,1.93493e+06,8.40644e+07,17006.3
3800,37,1.93493e+06,8.21614e+07,17462
3900,38,1.93493e+06,8.21614e+07,17922.3
4000,39,1.93493e+06,8.21614e+07,18383.1
4100,40,1.93493e+06,8.21614e+07,18839.4
4200,41,1.93493e+06,8.21614e+07,19298.4
4300,42,1.93493e+06,8.21614e+07,19756.7
4400,43,1.93493e+06,8.21614e+07,20213.4
