Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
100,0,1.92829e+06,1.35128e+08,463.204
200,1,1.92829e+06,1.34647e+08,927.3
300,2,1.92829e+06,1.34417e+08,1388.77
400,3,1.92829e+06,1.33181e+08,1858.1
500,4,1.92829e+06,1.2627e+08,2316.29
600,5,1.92829e+06,1.22425e+08,2775.33
700,6,1.92829e+06,1.20078e+08,3236.11
800,7,1.92829e+06,1.15257e+08,3695.44
900,8,1.92829e+06,1.1292e+08,4154.74
1000,9,1.92829e+06,1.1292e+08,4613.89
1100,10,1.92829e+06,1.1292e+08,5072.96
1200,11,1.92829e+06,1.08097e+08,5532.92
1300,12,1.92829e+06,1.0152e+08,5990.67
1400,13,1.92829e+06,9.65704e+07,6448.5
1500,14,1.92829e+06,9.63862e+07,6905.45
1600,15,1.92829e+06,9.63862e+07,7367.27
1700,16,1.92829e+06,9.52918e+07,7827.5
1800,17,1.92829e+06,9.52918e+07,8290.51
1900,18,1.92829e+06,9.3805e+07,8748.44
2000,19,1.92829e+06,9.3805e+07,9207.66
2100,20,1.92829e+06,9.3805e+07,9667.15
2200,21,1.92829e+06,9.3805e+07,10124.3
2300,22,1.92829e+06,9.3805e+07,10582.4
2400,23,1.92829e+06,8.98869e+07,11042.7
2500,24,1.92829e+06,8.62285e+07,11500.2
2600,25,1.92829e+06,8.62285e+07,11956.6
2700,26,1.92829e+06,8.62285e+07,12414.7
2800,27,1.92829e+06,8.62285e+07,12872.9
2900,28,1.92829e+06,8.27839e+07,13331.5
3000,29,1.92829e+06,8.27839e+07,13790.2
3100,30,1.92829e+06,8.27839e+07,14246.9
3200,31,1.92829e+06,8.27839e+07,14704.6
3300,32,1.92829e+06,8.27839e+07,15160.5
3400,33,1.92829e+06,8.27839e+07,15619.2
3500,34,1.92829e+06,8.27839e+07,16075.1
3600,35,1.92829e+06,8.27839e+07,16534
3700,36,1.92829e+06,8.27839e+07,16993
3800,37,1.92829e+06,8.27839e+07,17449
3900,38,1.92829e+06,8.27839e+07,17909.7
4000,39,1.92829e+06,8.27839e+07,18367.3
4100,40,1.92829e+06,8.27839e+07,18824.6
4200,41,1.92829e+06,8.27839e+07,19281.2
4300,42,1.92829e+06,8.27839e+07,19737.6
