Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,1.93362e+06,1.351e+08,1.259
50,1,1.93918e+06,1.3457e+08,191.022
100,2,1.93918e+06,7.93225e+07,355.69
150,3,1.93918e+06,3.98837e+06,521.415
200,4,1.93918e+06,3.39419e+06,727.823
250,5,1.93918e+06,3.43288e+06,938.775
300,6,1.93918e+06,2.60696e+06,1110.3
350,7,1.93918e+06,1.97924e+06,1284.29
400,8,1.93918e+06,1.98045e+06,1474.46
450,9,1.93918e+06,1.9868e+06,1638.58
500,10,1.93918e+06,2.01213e+06,1799.62
550,11,1.93918e+06,2.00024e+06,1969.8
600,12,1.93918e+06,2.01956e+06,2158.89
650,13,1.93918e+06,2.01805e+06,2348.41
700,14,1.93918e+06,2.01192e+06,2499.04
750,15,1.93918e+06,2.00361e+06,2699.26
800,16,1.93918e+06,2.0208e+06,2859.11
850,17,1.93918e+06,1.97426e+06,3040.44
900,18,1.93918e+06,1.97874e+06,3220.6
950,19,1.93918e+06,2.01095e+06,3419.07
1000,20,1.93918e+06,1.97561e+06,3598.7
1050,21,1.93918e+06,1.98968e+06,3754.4
1100,22,1.93918e+06,1.9789e+06,3923.48
1150,23,1.93918e+06,1.99844e+06,4102.14
1200,24,1.93918e+06,2.01582e+06,4248.43
1250,25,1.93918e+06,1.96156e+06,4442.9
1300,26,1.93918e+06,1.98659e+06,4648.54
1350,27,1.93918e+06,2.02127e+06,4846.4
1400,28,1.93918e+06,2.00415e+06,5006.65
1450,29,1.93918e+06,1.99712e+06,5157.12
1500,30,1.93918e+06,2.00451e+06,5327.73
1550,31,1.93918e+06,1.99987e+06,5521.9
1600,32,1.93918e+06,1.98126e+06,5687.51
1650,33,1.93918e+06,2.0123e+06,5847.77
1700,34,1.93918e+06,1.96977e+06,6023.45
1750,35,1.93918e+06,2.01138e+06,6207.26
1800,36,1.93918e+06,1.98201e+06,6376.25
1850,37,1.93918e+06,1.98854e+06,6546.38
1900,38,1.93918e+06,2.00169e+06,6731.09
1950,39,1.93918e+06,1.97927e+06,6906.18
2000,40,1.93918e+06,1.96707e+06,7085.46
2050,41,1.93918e+06,1.9632e+06,7264.13
2100,42,1.93918e+06,1.96815e+06,7424.62
2150,43,1.93918e+06,1.99821e+06,7608.08
2200,44,1.93918e+06,1.99828e+06,7777.88
2250,45,1.93918e+06,1.9776e+06,7923.15
2300,46,1.93918e+06,1.99281e+06,8082.88
2350,47,1.93918e+06,1.99424e+06,8247.96
2400,48,1.93918e+06,1.99883e+06,8442.36
2450,49,1.93918e+06,1.97824e+06,8607.14
2500,50,1.93918e+06,2.00324e+06,8761.43
2550,51,1.93918e+06,1.99186e+06,8925.93
2600,52,1.93918e+06,1.99663e+06,9105.51
2650,53,1.93918e+06,1.98661e+06,9276.37
2700,54,1.93918e+06,1.97302e+06,9460.6
2750,55,1.93918e+06,1.98499e+06,9625.66
2800,56,1.93918e+06,1.9869e+06,9786.77
2850,57,1.93918e+06,1.99598e+06,9952.01
2900,58,1.93918e+06,1.98146e+06,10121.4
2950,59,1.93918e+06,1.99752e+06,10307.6
3000,60,1.93918e+06,2.0171e+06,10467.1
3050,61,1.93918e+06,2.00866e+06,10612
3100,62,1.93918e+06,1.93918e+06,10825.2
3150,63,1.93918e+06,1.97804e+06,10990
3200,64,1.93918e+06,2.00451e+06,11148.7
3250,65,1.93918e+06,1.99315e+06,11360.6
3300,66,1.93918e+06,1.99243e+06,11569.3
3350,67,1.93918e+06,2.00632e+06,11738.9
3400,68,1.93918e+06,2.01387e+06,11897.8
3450,69,1.93918e+06,1.99844e+06,12075.1
3500,70,1.93918e+06,1.98898e+06,12253.7
3550,71,1.93918e+06,1.99991e+06,12437
3600,72,1.93918e+06,1.99643e+06,12621.4
3650,73,1.93918e+06,1.97473e+06,12818.2
3700,74,1.93918e+06,1.97624e+06,12996.8
3750,75,1.93918e+06,2.00312e+06,13161.9
3800,76,1.93918e+06,2.0015e+06,13352.1
3850,77,1.93918e+06,2.02442e+06,13521.4
3900,78,1.93918e+06,1.99146e+06,13679.4
3950,79,1.93918e+06,1.98528e+06,13869.1
4000,80,1.93918e+06,1.95813e+06,14058.9
4050,81,1.93918e+06,1.99419e+06,14209.3
4100,82,1.93918e+06,2.02353e+06,14398.4
4150,83,1.93918e+06,1.99102e+06,14554.3
4200,84,1.93918e+06,1.99588e+06,14720.2
4250,85,1.93918e+06,1.9828e+06,14865.1
4300,86,1.93918e+06,1.98269e+06,15040.9
4350,87,1.93918e+06,1.98447e+06,15219.9
4400,88,1.93918e+06,1.99472e+06,15388.4
4450,89,1.93918e+06,1.98689e+06,15552.7
4500,90,1.93918e+06,2.00669e+06,15717.3
4550,91,1.93918e+06,2.00207e+06,15877.3
4600,92,1.93918e+06,1.99745e+06,16061.2
4650,93,1.93918e+06,1.98686e+06,16196.9
4700,94,1.93918e+06,2.00399e+06,16381.3
4750,95,1.93918e+06,1.99129e+06,16576.4
4800,96,1.93918e+06,1.98723e+06,16741.1
4850,97,1.93918e+06,1.99575e+06,16940.1
4900,98,1.93918e+06,1.99429e+06,17119.7
4950,99,1.93918e+06,2.01139e+06,17275.4
5000,100,1.93918e+06,1.97535e+06,17471.3
5050,101,1.93918e+06,2.00628e+06,17647.2
5100,102,1.93918e+06,1.99333e+06,17824.6
5150,103,1.93918e+06,2.00767e+06,17995
5200,104,1.93918e+06,1.9942e+06,18172.5
5250,105,1.93918e+06,1.99791e+06,18369.6
5300,106,1.93918e+06,1.9493e+06,18549
5350,107,1.93918e+06,1.99363e+06,18689.7
5400,108,1.93918e+06,1.99726e+06,18850.9
5450,109,1.93918e+06,1.98357e+06,19035
5500,110,1.93918e+06,1.98753e+06,19221.3
5550,111,1.93918e+06,1.98147e+06,19386.4
5600,112,1.93918e+06,2.01793e+06,19576
5650,113,1.93918e+06,1.99688e+06,19754.6
5700,114,1.93918e+06,1.98876e+06,19948.4
5750,115,1.93918e+06,1.99228e+06,20122.9
5800,116,1.93918e+06,1.9942e+06,20281.6
5850,117,1.93918e+06,1.9952e+06,20456
5900,118,1.93918e+06,1.99793e+06,20634.8
