Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,1.93419e+06,1.34826e+08,1.148
50,1,1.93419e+06,1.3475e+08,168.649
100,2,1.93832e+06,1.26291e+08,321.195
150,3,1.93832e+06,1.14452e+08,483.104
200,4,1.93832e+06,1.09889e+08,638.736
250,5,1.93832e+06,1.07225e+08,803.11
300,6,1.93832e+06,8.62738e+07,971.565
350,7,1.93832e+06,8.18051e+07,1149.29
400,8,1.93832e+06,7.76693e+07,1304.97
450,9,1.93832e+06,8.09369e+07,1457.54
500,10,1.93832e+06,7.54449e+07,1607.44
550,11,1.93832e+06,1.79899e+07,1790.82
600,12,1.93832e+06,9.27094e+06,1931.55
650,13,1.93832e+06,1.98525e+06,2093.91
700,14,1.93832e+06,1.98565e+06,2254.74
750,15,1.93832e+06,1.98592e+06,2403.21
800,16,1.93832e+06,1.98753e+06,2562.88
850,17,1.93832e+06,1.99437e+06,2723.28
900,18,1.93832e+06,2.81443e+06,2846.75
950,19,1.93832e+06,2.31618e+06,3013.94
1000,20,1.93832e+06,1.98281e+06,3161.72
1050,21,1.93832e+06,1.99567e+06,3297.04
1100,22,1.93832e+06,2.75139e+06,3436.75
1150,23,1.93832e+06,2.0008e+06,3601.27
1200,24,1.93832e+06,1.98374e+06,3775.76
1250,25,1.93832e+06,1.97709e+06,3937.04
1300,26,1.93832e+06,1.97366e+06,4108.56
1350,27,1.93832e+06,1.98756e+06,4277.23
1400,28,1.93832e+06,1.9664e+06,4438.08
1450,29,1.93832e+06,2.01339e+06,4602.69
1500,30,1.93832e+06,1.98255e+06,4759.75
1550,31,1.93832e+06,2.46377e+06,4913.33
1600,32,1.93832e+06,2.01246e+06,5062.23
1650,33,1.93832e+06,1.99455e+06,5215.92
1700,34,1.93832e+06,2.04705e+06,5348.42
1750,35,1.93832e+06,2.005e+06,5504.3
1800,36,1.93832e+06,2.01513e+06,5630.9
1850,37,1.93832e+06,2.77946e+06,5766.94
1900,38,1.93832e+06,2.00313e+06,5928.5
1950,39,1.93832e+06,1.99979e+06,6077.93
2000,40,1.93832e+06,2.56565e+06,6233.5
2050,41,1.93832e+06,1.9816e+06,6402.85
2100,42,1.93832e+06,1.93832e+06,6559.33
2150,43,1.93832e+06,2.01482e+06,6712.41
2200,44,1.93832e+06,2.73444e+06,6882.18
2250,45,1.93832e+06,1.98337e+06,7046.12
2300,46,1.93832e+06,1.99562e+06,7204.36
2350,47,1.93832e+06,1.99646e+06,7348.63
2400,48,1.93832e+06,1.9995e+06,7505.47
2450,49,1.93832e+06,1.98199e+06,7666.67
2500,50,1.93832e+06,1.98915e+06,7810.59
2550,51,1.93832e+06,2.00742e+06,7972.02
2600,52,1.93832e+06,2.00833e+06,8132.83
2650,53,1.93832e+06,1.99068e+06,8293.84
2700,54,1.93832e+06,2.05533e+06,8451.12
2750,55,1.93832e+06,1.99642e+06,8567.32
2800,56,1.93832e+06,1.99446e+06,8701.81
2850,57,1.93832e+06,1.94563e+06,8846.36
2900,58,1.93832e+06,1.96961e+06,8989.76
2950,59,1.93832e+06,1.95457e+06,9149.89
3000,60,1.93832e+06,2.00649e+06,9281.51
3050,61,1.93832e+06,1.98962e+06,9440.95
3100,62,1.93832e+06,1.99844e+06,9587.78
3150,63,1.93832e+06,2.5383e+06,9750.72
3200,64,1.93832e+06,1.97648e+06,9908.8
3250,65,1.93832e+06,1.98557e+06,10057
3300,66,1.93832e+06,1.98478e+06,10209.2
3350,67,1.93832e+06,2.23645e+06,10355.5
3400,68,1.93832e+06,1.98438e+06,10508.5
3450,69,1.93832e+06,2.01063e+06,10671.4
3500,70,1.93832e+06,2.01603e+06,10836.8
3550,71,1.93832e+06,2.004e+06,10984.4
3600,72,1.93832e+06,2.00981e+06,11117.2
3650,73,1.93832e+06,1.98504e+06,11248.3
3700,74,1.93832e+06,1.99972e+06,11392.3
