Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
50,0,61234.9,888807,8.895
100,1,61234.9,874348,14.929
150,2,61234.9,839706,20.809
200,3,61234.9,774886,26.532
250,4,61234.9,762291,32.185
300,5,61234.9,745836,37.894
350,6,61234.9,739748,43.717
400,7,61234.9,674756,49.179
450,8,61234.9,621567,54.635
500,9,61234.9,599235,60.233
550,10,61234.9,599235,65.877
600,11,61234.9,599235,71.358
650,12,61234.9,536768,77.005
700,13,61234.9,536768,82.432
750,14,61234.9,507624,87.835
800,15,61234.9,507624,93.229
850,16,61234.9,507624,98.672
900,17,61234.9,506236,104.145
950,18,61234.9,506236,109.716
1000,19,61234.9,505178,115.365
1050,20,61234.9,505178,120.801
1100,21,61234.9,478365,126.283
1150,22,61234.9,478365,131.81
1200,23,61234.9,478365,137.261
1250,24,61234.9,478365,142.705
1300,25,61234.9,478365,148.258
1350,26,61234.9,478365,153.743
1400,27,61234.9,478365,159.173
1450,28,61234.9,478365,164.731
1500,29,61234.9,478365,170.24
1550,30,61234.9,478365,175.742
1600,31,61234.9,408890,181.354
1650,32,61234.9,408890,186.834
1700,33,61234.9,408890,192.261
1750,34,61234.9,408890,197.828
1800,35,61234.9,397842,203.305
1850,36,61234.9,397842,208.838
1900,37,61234.9,347102,214.417
1950,38,61234.9,347102,219.923
2000,39,61234.9,347102,225.403
2050,40,61234.9,347102,230.98
2100,41,61234.9,347102,236.943
2150,42,61234.9,347102,242.476
2200,43,61234.9,347102,248.078
2250,44,61234.9,347102,253.51
2300,45,61234.9,347102,258.97
2350,46,61234.9,347102,264.542
2400,47,61234.9,347102,270.09
2450,48,61234.9,347102,275.56
2500,49,61234.9,347102,281.296
2550,50,61234.9,347102,286.805
2600,51,61234.9,347102,292.22
2650,52,61234.9,347102,297.82
2700,53,61234.9,347102,303.316
2750,54,61234.9,347102,309.163
2800,55,61234.9,347102,314.79
2850,56,61234.9,347102,320.295
2900,57,61234.9,347102,325.927
2950,58,61234.9,347102,331.764
3000,59,61234.9,347102,337.391
3050,60,61234.9,347102,343.075
3100,61,61234.9,347102,348.73
3150,62,61234.9,347102,354.362
3200,63,61234.9,347102,360.176
3250,64,61234.9,283837,365.902
3300,65,61234.9,283837,371.481
3350,66,61234.9,283837,377.075
3400,67,61234.9,283837,382.756
3450,68,61234.9,283837,388.349
3500,69,61234.9,283837,394.204
3550,70,61234.9,283837,399.792
3600,71,61234.9,283837,405.402
3650,72,61234.9,283837,411.28
3700,73,61234.9,283837,417.016
3750,74,61234.9,283837,422.651
3800,75,61234.9,283837,428.329
3850,76,61234.9,283837,433.948
3900,77,61234.9,187143,439.722
3950,78,61234.9,187143,445.472
4000,79,61234.9,187143,451.131
4050,80,61234.9,187143,456.918
4100,81,61234.9,187143,462.641
4150,82,61234.9,169292,468.412
4200,83,61234.9,169292,473.99
4250,84,61234.9,169292,480.143
4300,85,61234.9,169292,486.107
4350,86,61234.9,169292,491.937
4400,87,61234.9,169292,497.751
4450,88,61234.9,169292,503.404
4500,89,61234.9,169292,509.035
4550,90,61234.9,169292,515.006
4600,91,61234.9,169292,520.647
4650,92,61234.9,169292,526.248
4700,93,61234.9,169292,531.892
4750,94,61234.9,169292,537.366
4800,95,61234.9,169292,542.892
4850,96,61234.9,169292,548.663
4900,97,61234.9,169292,554.359
4950,98,61234.9,169292,560.223
5000,99,61234.9,169292,565.918
5050,100,61234.9,169292,571.547
5100,101,61234.9,169292,577.486
5150,102,61234.9,169292,583.338
5200,103,61234.9,169292,589.12
5250,104,61234.9,169292,595.085
5300,105,61234.9,169292,600.634
5350,106,61234.9,169292,606.489
5400,107,61234.9,169292,612.214
5450,108,61234.9,169292,617.968
5500,109,61234.9,169292,624.044
5550,110,61234.9,169292,629.804
5600,111,61234.9,169292,635.936
5650,112,61234.9,169292,641.526
5700,113,61234.9,169292,647.334
5750,114,61234.9,169292,653.068
5800,115,61234.9,169292,658.728
5850,116,61234.9,169292,664.526
5900,117,61234.9,169292,670.226
5950,118,61234.9,169292,675.896
6000,119,61234.9,169292,681.951
6050,120,61234.9,169292,687.437
6100,121,61234.9,169292,692.911
6150,122,61234.9,169292,698.477
6200,123,61234.9,169292,703.908
6250,124,61234.9,169292,709.372
6300,125,61234.9,169292,715.064
6350,126,61234.9,169292,720.791
6400,127,61234.9,169292,726.32
6450,128,61234.9,169292,731.91
6500,129,61234.9,169292,737.434
6550,130,61234.9,169292,743.356
6600,131,61234.9,169292,749.588
6650,132,61234.9,169292,755.266
6700,133,61234.9,169292,760.925
6750,134,61234.9,169292,766.336
6800,135,61234.9,169292,771.815
6850,136,61234.9,169292,777.483
6900,137,61234.9,169292,782.991
6950,138,61234.9,169292,788.456
7000,139,61234.9,169292,794.151
7050,140,61234.9,169292,799.657
7100,141,61234.9,169292,805.255
7150,142,61234.9,169292,810.797
7200,143,61234.9,169292,816.681
7250,144,61234.9,169292,822.131
7300,145,61234.9,169292,828.116
7350,146,61234.9,168944,833.703
7400,147,61234.9,168944,839.315
7450,148,61234.9,168944,845.034
7500,149,61234.9,168944,850.621
7550,150,61234.9,168944,856.224
7600,151,61234.9,168944,861.886
7650,152,61234.9,168944,867.521
7700,153,61234.9,168944,873.185
7750,154,61234.9,168944,878.975
7800,155,61234.9,168944,884.691
7850,156,61234.9,168944,890.43
7900,157,61234.9,168944,896.113
7950,158,61234.9,168944,901.826
8000,159,61234.9,168944,907.469
8050,160,61234.9,168944,913.193
8100,161,61234.9,168944,919.062
8150,162,61234.9,168944,924.697
8200,163,61234.9,168944,930.353
8250,164,61234.9,168944,936.1
8300,165,61234.9,168944,941.652
8350,166,61234.9,168944,947.384
8400,167,61234.9,168944,953.085
8450,168,61234.9,168944,958.636
8500,169,61234.9,168944,964.225
8550,170,61156.3,168944,969.736
8600,171,61156.3,168944,975.23
8650,172,61156.3,168944,980.843
8700,173,61156.3,168944,986.44
8750,174,61156.3,168944,991.944
8800,175,61156.3,168944,998.012
8850,176,61156.3,168944,1003.72
8900,177,61156.3,168944,1009.26
8950,178,61156.3,168944,1015.02
9000,179,61156.3,168944,1020.54
9050,180,61156.3,168944,1026.08
9100,181,61156.3,168944,1031.94
9150,182,61156.3,168944,1037.49
9200,183,61156.3,168944,1043.25
9250,184,61156.3,168944,1048.96
9300,185,61156.3,168944,1054.47
9350,186,61156.3,168944,1060.29
9400,187,61156.3,168944,1065.85
9450,188,61156.3,168944,1071.35
9500,189,61156.3,168944,1076.97
9550,190,61156.3,168944,1082.65
9600,191,61156.3,168944,1088.12
9650,192,61156.3,168944,1093.84
9700,193,61156.3,168944,1099.41
9750,194,61156.3,168944,1104.96
9800,195,61156.3,168944,1110.71
9850,196,61156.3,168944,1116.29
9900,197,61156.3,168944,1121.84
9950,198,61156.3,168944,1127.52
10000,199,61156.3,168944,1138.09
10050,200,61156.3,168944,1143.91
10100,201,61156.3,168944,1149.68
10150,202,61156.3,168944,1155.48
10200,203,61156.3,168944,1161.43
10250,204,61156.3,168944,1167.05
10300,205,61156.3,168944,1172.7
10350,206,61156.3,168944,1178.41
10400,207,61156.3,168944,1183.98
10450,208,61156.3,168944,1189.62
10500,209,61156.3,168944,1195.21
10550,210,61156.3,168944,1200.73
10600,211,61156.3,168944,1206.34
10650,212,61156.3,168944,1211.97
10700,213,61156.3,168944,1217.62
10750,214,61156.3,168944,1223.39
10800,215,61156.3,168944,1229.33
10850,216,61156.3,168944,1235.3
10900,217,61156.3,168944,1241.2
10950,218,61156.3,168944,1247.38
11000,219,61156.3,168944,1253.41
11050,220,61156.3,168944,1259.23
11100,221,61156.3,168944,1265.12
