Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,63823.2,880397,0.049
50,1,63823.2,865485,3.531
100,2,63823.2,773365,7.044
150,3,63823.2,518142,10.616
200,4,63823.2,138295,14.199
250,5,63823.2,113384,17.646
300,6,63823.2,92462.6,21.13
350,7,63823.2,116174,24.428
400,8,63823.2,96067.4,27.753
450,9,63823.2,108520,31.107
500,10,63823.2,108165,34.296
550,11,63823.2,90885.2,37.9
600,12,63823.2,86591.5,41.259
650,13,63823.2,102184,44.428
700,14,63823.2,81328.8,47.996
750,15,63823.2,100072,51.187
800,16,63823.2,89946.4,54.694
850,17,63823.2,91904.9,58.309
900,18,63823.2,108475,62.007
950,19,63823.2,93638.4,65.405
1000,20,63823.2,94876.5,68.957
1050,21,63823.2,101442,72.267
1100,22,63823.2,97588.9,75.451
1150,23,63823.2,91720.9,78.903
1200,24,63823.2,88809,82.261
1250,25,63823.2,104471,85.309
1300,26,63823.2,93087.8,88.627
1350,27,63823.2,94409.3,92.1
1400,28,63823.2,106215,95.292
1450,29,63823.2,92657.4,98.993
1500,30,63823.2,94441.1,102.141
1550,31,63823.2,112586,105.164
1600,32,63823.2,90555.5,108.488
1650,33,63823.2,93813.7,112.116
1700,34,63823.2,108666,115.333
1750,35,63823.2,92454.9,118.228
1800,36,63823.2,89815.6,121.67
1850,37,63823.2,104406,125.195
1900,38,63823.2,109674,128.675
1950,39,63823.2,95705,132.013
2000,40,63823.2,86264.6,135.321
2050,41,63823.2,89775.4,138.433
2100,42,63823.2,88659.5,141.875
2150,43,63823.2,95375.6,145.197
2200,44,63823.2,90419.2,148.378
2250,45,63823.2,89223.2,151.341
2300,46,63823.2,90378.9,154.76
2350,47,63823.2,95211.9,158.192
2400,48,63823.2,90004.4,161.404
2450,49,63823.2,90117,164.67
2500,50,63823.2,94892.5,168.036
2550,51,63823.2,82823.2,172.03
2600,52,63823.2,107319,176.148
2650,53,63823.2,103200,179.521
2700,54,63823.2,102503,182.941
2750,55,63823.2,109235,186.223
2800,56,63823.2,106137,189.593
2850,57,63823.2,88249.8,192.962
2900,58,63823.2,107450,196.456
2950,59,63823.2,99729.4,199.853
3000,60,63823.2,95021.6,203.368
3050,61,63823.2,86204.4,206.998
3100,62,63823.2,90182.9,210.471
3150,63,63823.2,101010,213.863
3200,64,63823.2,99675.3,216.981
3250,65,63823.2,111264,220.767
3300,66,63823.2,92624.2,224.283
3350,67,63823.2,92871.3,227.619
3400,68,63823.2,76338.3,231.222
3450,69,63823.2,82023.2,234.435
3500,70,63823.2,110907,237.797
3550,71,63823.2,100530,241.594
3600,72,63823.2,95677.3,244.872
3650,73,63823.2,104418,248.562
3700,74,63823.2,100145,252.232
3750,75,63823.2,108783,256.245
3800,76,63823.2,101891,259.643
3850,77,63823.2,84312,263.144
3900,78,63823.2,102289,266.553
3950,79,63823.2,83771.5,269.979
4000,80,63823.2,89359.4,273.206
4050,81,63823.2,104974,276.67
4100,82,63823.2,99373.9,280.118
4150,83,63823.2,103718,283.617
4200,84,63823.2,95887.5,287.018
4250,85,63823.2,103559,290.245
4300,86,63823.2,91966.5,293.62
4350,87,63823.2,91680,297.059
4400,88,63823.2,99715.8,300.276
4450,89,63823.2,108262,303.579
4500,90,63823.2,108628,307.253
4550,91,63823.2,105140,310.612
4600,92,63823.2,100659,313.841
4650,93,63823.2,82052.6,317.266
4700,94,63823.2,86530.8,320.905
4750,95,63823.2,94184.2,324.381
4800,96,63823.2,103407,327.461
4850,97,63823.2,96348.4,330.798
4900,98,63823.2,90547.6,333.679
4950,99,63823.2,93680.2,336.953
5000,100,63823.2,96264.9,340.362
5050,101,63823.2,103155,343.62
5100,102,63823.2,96604.1,346.883
5150,103,63823.2,98712.2,350.282
5200,104,63823.2,98476,353.651
5250,105,63823.2,90653.7,356.751
5300,106,63823.2,93121.6,360.338
5350,107,63823.2,88666.3,363.739
5400,108,63823.2,88100.2,366.85
5450,109,63823.2,101580,370.38
5500,110,63823.2,88888.4,373.646
5550,111,63823.2,103823,377.214
5600,112,63823.2,109070,380.68
5650,113,63823.2,89653.7,384.185
5700,114,63823.2,88643.1,387.598
5750,115,63823.2,102341,390.81
5800,116,63823.2,88823.2,394.105
5850,117,63823.2,95555.8,397.619
5900,118,63823.2,81673.8,401.24
5950,119,63823.2,95098.6,404.527
6000,120,63823.2,98598.2,408.238
6050,121,63823.2,103544,411.705
6100,122,63823.2,108583,415.305
6150,123,63823.2,97436.5,418.722
6200,124,63823.2,88931.8,421.798
6250,125,63823.2,91271.1,425.132
6300,126,63823.2,105957,428.632
6350,127,63823.2,106609,432.014
6400,128,63823.2,82317.6,435.647
6450,129,63823.2,110476,439.326
6500,130,63823.2,105274,442.929
6550,131,63823.2,102740,446.257
6600,132,63823.2,101716,449.823
6650,133,63823.2,83574.4,453.056
6700,134,63823.2,90549.9,456.26
6750,135,63823.2,94395.7,459.879
6800,136,63823.2,94800.8,463.267
6850,137,63823.2,108059,466.598
6900,138,63823.2,92835.4,470.145
6950,139,63823.2,97241.2,473.716
7000,140,63823.2,84530.5,477.211
7050,141,63823.2,98686.8,480.896
7100,142,63823.2,101981,484.457
7150,143,63823.2,99959.9,487.767
7200,144,63823.2,89044.3,491.274
7250,145,63823.2,104689,494.573
7300,146,63823.2,98782.1,497.938
7350,147,63823.2,103040,501.258
7400,148,63823.2,103030,504.724
7450,149,63823.2,110476,508.125
7500,150,63823.2,93779.2,511.701
7550,151,63823.2,104348,515.238
7600,152,63823.2,90168.8,518.491
7650,153,63823.2,105443,521.882
7700,154,63823.2,105737,525.168
7750,155,63823.2,78603.9,528.418
7800,156,63823.2,91438.4,531.714
7850,157,63823.2,87003.7,535.266
7900,158,63823.2,109486,538.842
7950,159,63823.2,101091,542.209
8000,160,63823.2,88028.5,545.448
8050,161,63823.2,94441.1,548.945
8100,162,63823.2,98317.2,552.301
8150,163,63823.2,113317,555.694
8200,164,63823.2,87533.2,558.961
8250,165,63823.2,106183,562.339
8300,166,63823.2,89957.5,565.982
8350,167,63823.2,79715.4,569.763
8400,168,63823.2,94743.5,573.303
8450,169,63823.2,105980,576.641
8500,170,63823.2,101557,579.809
8550,171,63823.2,96351.7,583.295
8600,172,63823.2,89704.5,586.742
8650,173,63823.2,108661,590.17
8700,174,63823.2,93166,593.258
8750,175,63823.2,100951,596.512
8800,176,63823.2,92622.1,600.04
8850,177,63823.2,88742.2,603.51
8900,178,63823.2,94979.8,606.752
8950,179,63730.4,106747,610.305
9000,180,63730.4,105063,613.329
9050,181,63730.4,93522.8,616.442
9100,182,63730.4,103167,619.531
9150,183,63730.4,92608.5,622.73
9200,184,63730.4,95670.6,626.028
9250,185,63730.4,94889.8,629.372
9300,186,63730.4,102824,633.033
9350,187,63730.4,90427.6,636.778
9400,188,63730.4,110465,640.575
9450,189,63730.4,110123,643.887
9500,190,63730.4,99611.7,647.252
9550,191,63730.4,96660.5,650.498
9600,192,63730.4,107267,653.643
9650,193,63730.4,106687,656.853
9700,194,63730.4,104515,660.048
9750,195,63730.4,110864,663.537
9800,196,63730.4,101007,667.435
9850,197,63730.4,89793.2,671.117
9900,198,63730.4,104055,674.352
9950,199,63730.4,109581,677.617
10000,200,63730.4,89876.4,681.294
10050,201,63730.4,107470,684.793
10100,202,63730.4,92201,687.936
10150,203,63730.4,88883,691.603
10200,204,63730.4,95052.3,695.015
10250,205,63730.4,82507.7,698.278
10300,206,63730.4,108129,701.885
