Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,61157.5,879360,0.097
100,1,61662.8,856541,6.579
200,2,61662.8,842189,13.16
300,3,61662.8,777702,19.615
400,4,61662.8,768990,25.991
500,5,61662.8,749714,32.684
600,6,61662.8,750782,39.1
700,7,61662.8,770201,45.74
800,8,61662.8,750311,52.405
900,9,61662.8,762244,58.661
1000,10,61662.8,707918,65.027
1100,11,61662.8,719673,71.396
1200,12,61662.8,707590,78.012
1300,13,61662.8,774585,85.112
1400,14,61662.8,705625,91.408
1500,15,61662.8,755286,97.905
1600,16,61662.8,718570,104.511
1700,17,61662.8,768683,111.145
1800,18,61662.8,738506,117.654
1900,19,61662.8,718073,123.698
2000,20,61662.8,703403,130.093
2100,21,61662.8,723076,136.485
2200,22,61662.8,725281,142.787
2300,23,61662.8,221301,148.822
2400,24,61662.8,105970,154.791
2500,25,61662.8,107186,160.872
2600,26,61662.8,100419,167.358
2700,27,61662.8,104933,173.917
2800,28,61662.8,106262,180.447
2900,29,61662.8,101144,187.238
3000,30,61662.8,102860,193.141
3100,31,61662.8,105654,199.518
3200,32,61662.8,93764,205.632
3300,33,61662.8,99802.3,212.484
3400,34,61662.8,101641,218.929
3500,35,61662.8,105433,225.672
3600,36,61662.8,110403,231.857
3700,37,61662.8,104244,238.553
3800,38,61662.8,103819,245.31
3900,39,61662.8,108651,251.398
4000,40,61662.8,100073,257.783
4100,41,61662.8,101229,263.923
4200,42,61662.8,108351,270.403
4300,43,61662.8,87514.6,277.222
4400,44,61662.8,88404.7,283.558
4500,45,61662.8,99755.3,289.992
4600,46,61662.8,110447,296.226
4700,47,61662.8,104299,302.895
4800,48,61662.8,94858.1,309.313
4900,49,61662.8,90264.5,316.015
5000,50,61662.8,107704,322.634
5100,51,61662.8,97999.2,329.251
5200,52,61662.8,102127,335.396
5300,53,61662.8,131973,342.206
5400,54,61662.8,108090,348.657
5500,55,61662.8,98465.8,354.879
5600,56,61662.8,109232,360.901
5700,57,61662.8,105772,368.027
5800,58,61662.8,89558.7,374.233
5900,59,61662.8,99849.4,380.648
6000,60,61662.8,103035,386.545
6100,61,61662.8,94238.7,392.945
6200,62,61662.8,107024,398.875
6300,63,61662.8,103816,405.497
6400,64,61662.8,102229,412.285
6500,65,61662.8,105099,419.011
6600,66,61662.8,90467.8,425.472
6700,67,61662.8,85668.4,431.756
6800,68,61662.8,100536,438.163
6900,69,61662.8,104046,444.616
7000,70,61662.8,95752,451.544
7100,71,61662.8,95276.1,457.767
7200,72,61662.8,101675,463.983
7300,73,61662.8,93886.5,470.836
7400,74,61662.8,105486,477.452
7500,75,61662.8,109426,483.832
7600,76,61662.8,94320.1,489.778
7700,77,61662.8,89791.3,496.132
7800,78,61662.8,91291,502.324
7900,79,61662.8,109645,508.996
8000,80,61662.8,108945,515.569
8100,81,61662.8,99750.5,522.1
8200,82,61662.8,82980.3,528.688
8300,83,61662.8,89558.7,534.664
8400,84,61662.8,106494,541.094
8500,85,61662.8,105245,547.632
8600,86,61662.8,100068,554.103
8700,87,61662.8,98643,560.682
8800,88,61662.8,100880,566.887
8900,89,61662.8,106468,573.22
9000,90,61662.8,105436,579.644
9100,91,61662.8,108547,585.855
9200,92,61662.8,92780.3,592.276
9300,93,61662.8,106261,598.757
9400,94,61662.8,105442,605.352
9500,95,61662.8,102348,612.046
9600,96,61662.8,109312,618.769
9700,97,61662.8,113448,625.288
9800,98,61662.8,99205.9,631.443
9900,99,61662.8,106408,638.054
10000,100,61662.8,137805,646.158
10100,101,61662.8,106172,652.694
10200,102,61662.8,104324,658.9
10300,103,61662.8,105443,665.229
10400,104,61662.8,106054,672.253
10500,105,61662.8,96424.8,678.658
10600,106,61662.8,99158.1,685.436
10700,107,61662.8,103910,691.892
10800,108,61662.8,102290,698.291
10900,109,61662.8,94435.9,704.782
11000,110,61662.8,111156,711.403
11100,111,61662.8,109898,717.81
11200,112,61662.8,103359,724.288
11300,113,61662.8,99151.1,730.203
11400,114,61662.8,107514,736.687
11500,115,61662.8,92945.5,743.086
11600,116,61662.8,102028,749.722
11700,117,61662.8,99028.2,755.93
11800,118,61662.8,105882,762.276
11900,119,61662.8,102164,768.166
12000,120,61662.8,105084,775.001
12100,121,61662.8,87706.3,781.483
12200,122,61662.8,97786.4,787.792
12300,123,61662.8,98860.3,794.026
12400,124,61662.8,110636,800.617
12500,125,61662.8,112733,807.361
12600,126,61662.8,104528,813.955
12700,127,61662.8,93055.9,820.423
12800,128,61662.8,101968,827.115
12900,129,61662.8,126043,833.847
13000,130,61662.8,98992.5,840.675
13100,131,61662.8,120856,846.97
13200,132,61662.8,104831,853.496
13300,133,61662.8,99139.9,859.794
13400,134,61584.2,98053.8,866.333
13500,135,61584.2,100160,873.233
13600,136,61584.2,86109,879.482
13700,137,61584.2,102246,886.108
13800,138,61584.2,98171.3,892.28
13900,139,61584.2,88419.7,898.469
14000,140,61584.2,98519.2,905.275
14100,141,61584.2,93436.2,912.055
14200,142,61584.2,94783.2,919.062
14300,143,61584.2,106281,925.467
14400,144,61584.2,98977.5,931.919
14500,145,61584.2,105891,938.245
14600,146,61584.2,100751,944.314
14700,147,61584.2,106880,950.811
14800,148,61584.2,111866,957.376
14900,149,61584.2,106382,963.641
15000,150,61584.2,101902,970.482
15100,151,61584.2,103841,976.878
15200,152,61584.2,92329.6,983.521
15300,153,61584.2,103563,990.258
15400,154,61584.2,122214,996.629
15500,155,61584.2,102112,1002.92
15600,156,61584.2,101194,1009.02
15700,157,61584.2,98833.7,1015.53
15800,158,61584.2,104577,1022.57
15900,159,61584.2,99808.7,1029.06
16000,160,61584.2,104390,1035.5
16100,161,61584.2,105610,1042.02
16200,162,61584.2,93141.6,1048.04
16300,163,61584.2,91198.6,1054.52
16400,164,61584.2,102465,1060.5
16500,165,61584.2,106427,1067.13
16600,166,61584.2,93977.3,1073.55
16700,167,61584.2,99460.7,1080.04
16800,168,61584.2,100207,1086.31
16900,169,61584.2,100413,1092.77
17000,170,61584.2,98210.8,1098.99
17100,171,61584.2,105582,1105.38
17200,172,61584.2,105020,1112.29
17300,173,61584.2,97972.2,1118.78
17400,174,61584.2,88636.8,1125.14
17500,175,61584.2,106389,1132.01
17600,176,61584.2,109590,1138.73
17700,177,61584.2,106150,1145.03
17800,178,61584.2,100987,1151.47
17900,179,61584.2,108963,1157.97
18000,180,61584.2,104775,1164.17
18100,181,61584.2,106599,1171
18200,182,61584.2,99637.1,1177.24
18300,183,61584.2,98977.5,1183.76
18400,184,61584.2,100402,1190.04
18500,185,61584.2,109051,1196.45
18600,186,61584.2,99723.8,1203.16
18700,187,61584.2,92503.6,1209.19
18800,188,61584.2,110142,1215.37
18900,189,61584.2,99999.8,1222.01
19000,190,61584.2,89092.1,1228.38
19100,191,61584.2,120526,1235.33
19200,192,61584.2,105261,1241.55
19300,193,61584.2,91770.5,1247.24
19400,194,61584.2,101650,1253.6
19500,195,61584.2,105209,1259.78
19600,196,61584.2,108276,1265.77
19700,197,61584.2,102073,1272.59
19800,198,61584.2,104733,1278.93
19900,199,61584.2,103998,1285.2
20000,200,61584.2,99680.7,1291.31
20100,201,61584.2,103604,1297.73
20200,202,61584.2,96625.4,1304.51
20300,203,61584.2,120125,1310.85
20400,204,61584.2,107133,1317.4
20500,205,61584.2,101066,1323.95
20600,206,61584.2,86789.3,1330.44
20700,207,61584.2,88305.9,1337.24
20800,208,61584.2,100164,1343.29
20900,209,61584.2,108595,1349.62
21000,210,61584.2,98308.6,1355.66
21100,211,61584.2,90811.9,1361.92
21200,212,61584.2,105166,1368.62
21300,213,61584.2,93039.6,1375.25
21400,214,61584.2,88056.5,1381.53
21500,215,61584.2,102238,1388.25
21600,216,61584.2,99617.1,1394.62
21700,217,61584.2,94799.6,1401.07
21800,218,61584.2,97115.4,1407.65
21900,219,61584.2,93032.8,1413.88
22000,220,61584.2,110142,1420.6
22100,221,61584.2,103603,1426.99
22200,222,61584.2,112232,1434.1
22300,223,61584.2,105364,1439.98
22400,224,61584.2,95377.3,1446.27
22500,225,61584.2,105768,1452.49
22600,226,61584.2,84962.4,1458.95
22700,227,61584.2,104621,1465.34
22800,228,61584.2,102166,1472.65
22900,229,61584.2,96473.2,1479
23000,230,61584.2,105415,1485.34
23100,231,61584.2,93209.8,1492.12
23200,232,61584.2,103522,1498.62
23300,233,61584.2,100081,1505.01
23400,234,61584.2,102465,1511.19
23500,235,61584.2,102927,1517.49
23600,236,61584.2,102842,1523.81
23700,237,61584.2,103498,1530.91
23800,238,61584.2,100914,1537.72
23900,239,61584.2,102299,1543.62
24000,240,61584.2,111136,1549.97
24100,241,61584.2,104909,1556.35
24200,242,61505.6,107108,1562.9
24300,243,61584.2,106635,1569.51
24400,244,61584.2,101298,1576.3
24500,245,61584.2,97389,1582.14
24600,246,61584.2,97168.7,1588.55
24700,247,61584.2,101510,1595.04
24800,248,61584.2,111505,1601.47
24900,249,61584.2,102956,1608.11
25000,250,61584.2,100875,1614.33
25100,251,61584.2,101158,1620.77
25200,252,61584.2,97509.6,1627.17
25300,253,61584.2,81892.2,1634.01
25400,254,61584.2,98092.8,1640.22
25500,255,61584.2,104601,1647.98
25600,256,61584.2,107133,1654.44
25700,257,61584.2,98911.9,1660.49
25800,258,61584.2,98008.9,1667.06
25900,259,61584.2,95166.8,1673.41
26000,260,61584.2,108427,1679.81
26100,261,61584.2,105768,1686.4
26200,262,61584.2,106670,1693.01
26300,263,61584.2,101037,1699.76
26400,264,61584.2,94026,1706.3
26500,265,61584.2,105167,1712.52
26600,266,61584.2,99822.1,1718.94
26700,267,61584.2,88513.9,1725.44
26800,268,61584.2,103035,1731.74
26900,269,61584.2,103447,1738.2
27000,270,61584.2,102882,1744.35
27100,271,61584.2,103335,1751.14
27200,272,61584.2,104500,1757.35
27300,273,61584.2,123085,1763.81
27400,274,61584.2,108062,1770.55
27500,275,61584.2,103447,1776.71
27600,276,61584.2,104165,1782.56
27700,277,61584.2,102069,1788.91
27800,278,61584.2,105261,1796.03
27900,279,61584.2,106350,1802.07
28000,280,61584.2,98550.7,1808.63
28100,281,61584.2,101892,1815.13
28200,282,61584.2,95569.9,1821.53
28300,283,61584.2,104295,1828.03
28400,284,61584.2,92436.7,1834.25
28500,285,61584.2,110719,1840.56
28600,286,61584.2,105324,1847.11
28700,287,61584.2,99909.8,1853.35
28800,288,61584.2,96086.3,1859.51
28900,289,61584.2,97532.8,1865.94
29000,290,61584.2,98670.2,1872.35
29100,291,61584.2,108154,1878.79
29200,292,61584.2,101549,1885.28
29300,293,61584.2,108964,1891.97
29400,294,61584.2,105851,1898.52
29500,295,61584.2,89092.1,1904.92
